date,day,support,resistance,post_url,source
2022-04-11,יום שני,"קווי תמיכה: 4444.25*?!, 4435.75?, 4416.00, 4393.75?, 4367.25, 4325.25","קווי התנגדות: 4471.75*?!, 4516.25!, 4519.25, 4539.50!, 4555.25!, 4587.75",,manual
2022-05-26,יום חמישי,"קווי תמיכה: 3928.50!, 3911.75!, 3904.00, 3873.25!, 3855.75, 3807.25!, 3744.25!, 3681.75","קווי התנגדות: 3994.00?, 4042.75!, 4055.00, 4094.50!, 4111.00!, 4152.25!, 4157.002, 4194.50",,manual
2022-06-29,יום רביעי,"קווי תמיכה: 3817.00*?!, 3781.75!, 3737.50, 3696.75!","קווי התנגדות: 3836.75*?!, 3870.00!, 3886.00?, 3913.00!, 3937.25?, 3947.00!, 3656.50, 3979.00!, 4008.25?, 4044.75!, 4076.50",,manual
2022-09-12,יום שני,"קווי תמיכה: 4025.00, 3969.50!, 3937.75?, 3902.50!, 3900.00","קווי התנגדות: 4160.00?, 4187.00!, 4203.75!, 4221.75!, 4238.50",,manual
2022-09-15,יום חמישי,"קווי תמיכה: 3937.75?, 3902.50!, 3900.00, 3866.25?, 3838.25!, 3796.00!, 3787.25, 3759.75","קווי התנגדות: 3979.75?, 3997.75!, 4035.75!, 4042.50, 4090.25!, 4138.25?, 4175.50!, 4203.75!, 4231.00!, 4277.50!",,manual
2022-10-19,יום רביעי,"קווי תמיכה: 3723.75?, 3703.50, 3660.00?, 3617.50!, 3580.25, 3506.75","קווי התנגדות: 3776.00?, 3819.25!, 3832.00, 3903.75?, 3934.25, 3979.50, 4034.00!",,manual
2022-11-08,יום שלישי,"קווי תמיכה: 3774.00!, 3757.50, 3715.25, 3647.00!, 3580.25, 3506.75","קווי התנגדות: 3822.00*?!, 3871.00?, 3880.50!, 3907.00!, 3926.00",,manual
2022-12-01,יום חמישי,"קווי תמיכה: 4038.50!, 4032.50, 3990.25!, 3942.50, 3928.50!","קווי התנגדות: 4094.75?, 4137.75!, 4174.75, 4203.75, 4234.50",,manual
2025-07-17,יום חמישי,"קווי תמיכה: 6277.00?, 6254.50!, 6246.25, 6236.25?, 6227.00!, 6207.00!, 6185.50!, 6159.50!","קווי התנגדות: 6307.00?, 6315.00!, 6335.25!, 6342.25, 6372.25!, 6401.50!",,manual
2025-07-21,יום שני,"קווי תמיכה: 6323.50!, 6320.00, 6288.50?, 6277.00?, 6254.50!, 6246.25, 6236.25?, 6227.00!, 6207.00!, 6185.50!, 6159.50!","קווי התנגדות: 6356.25?, 6372.25!, 6387.50!",,manual
2025-07-22,יום שלישי,"קווי תמיכה: 6323.50!, 6318.00, 6288.50?, 6277.00?, 6254.50!, 6246.25, 6236.25?, 6227.00!, 6207.00!, 6185.50!, 6159.50!","קווי התנגדות: 6354.00!, 6356.25, 6373.75!, 6387.50!",,manual
2025-07-29,יום שלישי,"קווי תמיכה: 6410.50?, 6407.25!, 6393.50!, 6373.75?, 6353.50!, 6340.00?, 6323.50!, 6318.75","קווי התנגדות: 6433.50?!, 6456.25!, 6481.50!, 6505.25!",,manual
2025-07-31,יום חמישי,"קווי תמיכה: 6456.25?!, 6441.50?, 6422.75?, 6393.50, 6373.75?, 6353.50!, 6340.00?","קווי התנגדות: 6456.25?!, 6485.50!, 6515.75!, 6575.00!",,manual
2025-08-04,יום שני,"קווי תמיכה: 6241.00!, 6227.25, 6187.25!, 6137.00, 6103.50!","קווי התנגדות: 6339.25!, 6343.00, 6374.25!, 6415.50!, 6421.25, 6458.50!, 6467.00",,manual
2025-08-05,יום שלישי,"קווי תמיכה: 6331.75?, 6294.50!, 6241.00!, 6227.25, 6187.25!, 6137.00, 6103.50!","קווי התנגדות: 6374.25?!, 6421.25, 6458.50!, 6467.00, 6497.75!",,manual
2025-08-11,יום שני,"קווי תמיכה: 6402.00?, 6390.00!, 6367.00?, 6357.50!, 6331.50!, 6315.75, 6288.50?, 6277.00!","קווי התנגדות: 6429.50?1, 6459.25!, 6467.00, 6500.75!",,manual
2025-08-12,יום שלישי,"קווי תמיכה: 6392.75?, 6364.25!, 6358.25, 6331.75!, 6288.50?, 6277.00!","קווי התנגדות: 6429.50!, 6459.25!, 6467.00, 6500.75!",,manual
2025-08-18,יום שני,"קווי תמיכה: 6466.25!, 6460.75, 6429.50!, 6408.50?, 6391.50?, 6364.25!, 6358.25, 6331.75!","קווי התנגדות: 6502.25?, 6508.00!, 6526.50!, 6544.00!",,manual
2025-08-19,יום שלישי,"קווי תמיכה: 6456.50?!, 6429.50!, 6408.50?, 6391.50?, 6364.25!, 6358.25, 6331.75!","קווי התנגדות: 6475.25?, 6502.25?, 6508.00!, 6526.50!, 6544.00!",,manual
2025-08-20,יום רביעי,"קווי תמיכה: 6408.50?!, 6391.50?, 6364.25!, 6358.25, 6331.75!, 6315.75","קווי התנגדות: 6436.50?, 6454.75!, 6476.25?, 6502.25?, 6508.00!, 6521.75!, 6544.00!",,manual
2025-08-21,יום חמישי,"קווי תמיכה: 6391.50?, 6364.25!, 6358.25, 6331.75!, 6315.75","קווי התנגדות: 6442.00?, 6454.75!, 6476.25?, 6502.25?, 6508.00!, 6521.75!",,manual
2025-08-25,יום שני,"קווי תמיכה: 6454.25?, 6448.25!, 6430.50?, 6400.25?, 6364.25!, 6358.25, 6331.75!, 6315.75","קווי התנגדות: 6495.25?, 6508.00!, 6532.75!, 6580.50!, 6665.00!",,manual
2025-08-26,יום שלישי,"קווי תמיכה: 6430.50?, 6400.25?, 6364.25!, 6358.25, 6331.75!, 6315.75","קווי התנגדות: 6454.25?!, 6482.50?, 6508.00, 6428.00!, 6580.50!, 6665.00!",,manual
2025-08-27,יום רביעי,"קווי תמיכה: 6452.25?, 6435.00!, 6397.75?, 6391.00!, 6364.25!, 6358.25, 6331.75!, 6315.75","קווי התנגדות: 6495.25?, 6508.00, 6525.00!, 6560.50!",,manual
2025-08-28,יום חמישי,"קווי תמיכה: 6460.75? - 6452.25!, 6435.00!, 6397.75? - 6391.00!, 6364.25! - 6358.25, 6331.75!, 6315.75","קווי התנגדות: 6495.25*?! (מחיר השוק) - 6508.00! - 6512.25, 6532.00!, 6558.50!",,manual
2025-09-01,יום שני,"קווי תמיכה: 6454.25? - 6448.75!, 6435.00?, 6391.00!, 6364.25! - 6358.25, 6331.75!, 6315.75","קווי התנגדות: 6491.50? - 6495.25!, 6508.00? - 6520.50, 6538.25!, 6563.75!",,manual
2025-09-02,יום שלישי,"קווי תמיכה: 6455.00?, 6435.00?, 6391.00!, 6364.25! - 6358.25, 6331.75!, 6315.75","קווי התנגדות: 6491.50? - 6495.25!, 6508.00? - 6520.50, 6538.25!, 6563.75!",,manual
